--- Final Results (Buy&Hold vs Forced-Close) ---

Symbol=MMM, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=112.87 (+12.87%), ForcedClose=153.92 (+53.92%)
Symbol=AXP, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=339.25 (+239.25%), ForcedClose= 71.09 (-28.91%)
Symbol=AMGN, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=228.40 (+128.40%), ForcedClose=287.98 (+187.98%)
Symbol=AMZN, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=1151.09 (+1051.09%), ForcedClose= 87.86 (-12.14%)
Symbol=AAPL, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=1307.03 (+1207.03%), ForcedClose=1022.68 (+922.68%)
Symbol=BA, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=131.22 (+31.22%), ForcedClose=169.74 (+69.74%)
Symbol=CAT, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=409.00 (+309.00%), ForcedClose=138.33 (+38.33%)
Symbol=CVX, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=115.87 (+15.87%), ForcedClose= 52.85 (-47.15%)
Symbol=CSCO, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=272.05 (+172.05%), ForcedClose= 25.30 (-74.70%)
Symbol=KO, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=154.55 (+54.55%), ForcedClose= 35.69 (-64.31%)
Symbol=DIS, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=147.58 (+47.58%), ForcedClose= 55.06 (-44.94%)
Symbol=GS, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=329.46 (+229.46%), ForcedClose=459.85 (+359.85%)
Symbol=HD, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=482.98 (+382.98%), ForcedClose=209.73 (+109.73%)
Symbol=HON, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=265.83 (+165.83%), ForcedClose= 50.18 (-49.82%)
Symbol=IBM, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=126.52 (+26.52%), ForcedClose= 36.65 (-63.35%)
Symbol=JNJ, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=160.22 (+60.22%), ForcedClose= 82.61 (-17.39%)
Symbol=JPM, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=416.27 (+316.27%), ForcedClose= 74.07 (-25.93%)
Symbol=MCD, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=304.94 (+204.94%), ForcedClose= 67.96 (-32.04%)
Symbol=MRK, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=210.60 (+110.60%), ForcedClose= 10.92 (-89.08%)
Symbol=MSFT, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=1182.27 (+1082.27%), ForcedClose= 14.07 (-85.93%)
Symbol=NKE, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=196.29 (+96.29%), ForcedClose= 42.63 (-57.37%)
Symbol=NVDA, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=35364.44 (+35264.44%), ForcedClose=428409.31 (+428309.31%)
Symbol=PG, Status=OK, Start=2014-01-02, End=2024-12-24, BuyHold=209.76 (+109.76%), ForcedClose=177.68 (+77.68%)
