Date,20 YR,30 YR,Extrapolation Factor,LT Real Average (10> Yrs),8 WEEKS BANK DISCOUNT,COUPON EQUIVALENT,17 WEEKS BANK DISCOUNT,COUPON EQUIVALENT.1,52 WEEKS BANK DISCOUNT,COUPON EQUIVALENT.2,1 Mo,2 Mo,3 Mo,4 Mo,20 Yr,30 Yr
2024-02-01,,,,1.93,,,,,,,,,,,,
2024-02-02,,,,2.04,,,,,,,,,,,,
2024-02-05,,,,2.12,,,,,,,,,,,,
2024-02-06,,,,2.08,,,,,,,,,,,,
2024-02-07,,,,2.1,,,,,,,,,,,,
2024-02-08,,,,2.14,,,,,,,,,,,,
2024-02-09,,,,2.15,,,,,,,,,,,,
2024-02-12,,,,2.16,,,,,,,,,,,,
2024-02-13,,,,2.22,,,,,,,,,,,,
2024-02-14,,,,2.2,,,,,,,,,,,,
2024-02-15,,,,2.18,,,,,,,,,,,,
2024-02-16,,,,2.18,,,,,,,,,,,,
2024-02-20,,,,2.19,,,,,,,,,,,,
2024-02-21,,,,2.2,,,,,,,,,,,,
